Code PM,Libellé,PR début,PR fin,Sens,Axe,QT_MIN (6s),QT_MAX (6s),VT_MIN (6s),VT_MAX (6s),TT_MIN (6s),TT_MAX (6s),Lg Elec (m),Code Groupe Seuil,Envoi MI2,Code MISOL2,Envoi TIPI,Code TIPI
M7q,PME_A7_2_268+859_M7q,268+859,269+359,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.q,OUI,MM713.q2
M7r,PME_A7_2_269+326_M7r,269+326,269+826,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.r,OUI,MM713.r2
M7s,PME_A7_2_269+790_M7s,269+790,270+290,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.s,OUI,MM713.s2
M7t,PME_A7_2_270+318_M7t,270+318,270+818,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.t,OUI,MM713.t2
M7u,PME_A7_2_270+833_M7u,270+833,271+333,2,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM713.u,OUI,MM713.u2
M8A,PME_A7_1_271+850_M8A,271+850,272+350,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.A,OUI,MM813.A1
M8B,PME_A7_1_272+375_M8B,272+375,272+875,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.B,OUI,MM813.B1
M8C,PME_A7_1_272+860_M8C,272+860,273+360,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.C,OUI,MM813.C1
M8D,PME_A7_1_273+440_M8D,273+440,273+690,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.D,OUI,MM813.D1
M8E,PME_A7_1_273+900_M8E,273+900,274+400,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.E,OUI,MM813.E1
M8F,PME_A7_1_274+450_M8F,274+450,274+950,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.F,OUI,MM813.F1
M8G,PME_A7_1_275+090_M8G,275+090,275+590,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.G,OUI,MM813.G1
M8H,PME_A7_1_275+695_M8H,275+695,276+195,1,A7,0,60,0,300,0,100,"0,2",SEUIL_01,OUI,MM813.H,OUI,MM813.H1
