Code PTF Voie,Code PTF Station,N° de voie
RN113_2_MPH_VLE,MPH,2
SMT-INTVLE_RDTCMA003,SMT-INTBAU_RDTSTC001,2
BS03EXTVLE_RDTCMA007,SMT-INTBAU_RDTSTC001,1
SMT-INTVRA_RDTCMA005,SMT-INTBAU_RDTSTC001,4
SMT-EXTVLE_RDTCMA011,SMT-INTBAU_RDTSTC001,5
BS03EXTVRA_RDTCMA009,SMT-INTBAU_RDTSTC001,3
SMT-EXTVRA_RDTCMA013,SMT-INTBAU_RDTSTC001,7
BE03INTVLE_RDTCMA001,SMT-INTBAU_RDTSTC001,0
A50_2_M4e_VRA,M4e,3
A50_1_M4E_VLE,M4e,0
A50_2_M4e_VLE,M4e,2
A50_1_M4E_VRA,M4e,1
A50_1_M4B_VMD,M4B,1
A50_1_M4B_VLE,M4B,0
A50_1_M4B_VRA,M4B,2
A50_1_M3D_VLE,M3D,0
A50_1_M3D_VRA,M3D,2
A50_1_M3D_VMD,M3D,1
A7_1_M8I_VMD,M8I,1
A7_1_M8I_VLE,M8I,0
A7_1_M8I_VRA,M8I,2
A51_2_M1a_VRA,M1a,1
A51_2_M1a_VLE,M1a,0
A51_2_M1a_BAU,M1a,2
RN113_1_MBS_VRA,MBS,1
RN113_1_MBS_VLE,MBS,0
RN113_2_MBS_VRA,MBS,3
RN113_2_MBS_VLE,MBS,2
A50_2_M4b_VLE,M4b,0
A50_2_M4b_VRA,M4b,2
A50_2_M4b_VMD,M4b,1
A7_1_M8S_VLE,M8S,1
A7_2_M8s_VLE,M8S,3
A7_1_M8S_VRA,M8S,2
A7_2_M8s_VRA,M8S,4
A7_1_M8S_BAU,M8S,0
A7_1_M7I_VLE,M7I,0
A7_1_M7I_VRA,M7I,2
A7_1_M7I_VMD,M7I,1
A55_1_M5S_VMD,M5S,1
A55_1_M5S_VLE,M5S,0
A55_1_M5S_VRA,M5S,2
A55_2_M5s_VRA,M5S,4
A55_2_M5s_VLE,M5S,3
A55_2_M5r_VLE,M5r,0
A55_2_M5r_VRA,M5r,1
BE34INTVLE_RDTCMA021,EAR1INTBAU_RDTSTC031,4
A7--EXTVRA_RDTCMA019,EAR1INTBAU_RDTSTC031,2
BE34INTVRA_RDTCMA023,EAR1INTBAU_RDTSTC031,6
A7--EXTVLE_RDTCMA017,EAR1INTBAU_RDTSTC031,0
A55_2_M5x_VMD,M5x,4
A55_2_M5x_VLE,M5x,3
